Time to Merge
0 days 05:42:22
2 days 11:48:49
27 days 20:42:07
7 days 17:00:04
1 days 00:00:54
19 days 20:43:10
0 days 00:00:41
0 days 00:41:11
0 days 00:11:17
0 days 00:02:37
0 days 00:21:36
0 days 00:02:09
0 days 00:01:32
0 days 00:01:04
14 days 03:39:12
0 days 00:00:06
0 days 01:02:47
0 days 00:00:10
0 days 00:20:45
0 days 00:00:06
0 days 00:00:10
0 days 00:13:29
0 days 01:37:34
0 days 00:11:03
4 days 18:31:33
0 days 09:09:30
1 days 19:35:03
1 days 21:49:19
0 days 00:52:18
0 days 00:57:32
0 days 01:01:00
0 days 00:15:13
0 days 00:09:52
0 days 00:18:53
0 days 01:27:10
0 days 01:15:46
0 days 00:09:01
0 days 01:38:31
0 days 05:19:48
7 days 02:38:41
0 days 00:59:56
0 days 00:46:40
18 days 21:24:39
0 days 12:45:06
0 days 02:38:19
0 days 10:17:17
0 days 16:34:29
3 days 07:09:02
0 days 00:23:58
0 days 01:05:22
0 days 00:03:18
0 days 16:14:32
1 days 17:31:42
1 days 14:44:17
0 days 04:02:21
0 days 02:05:25
5 days 03:46:53
2 days 15:12:30
0 days 00:00:15
0 days 04:55:16
0 days 22:07:27
0 days 00:06:57
0 days 00:23:28
0 days 00:01:39
0 days 00:02:51
2 days 22:33:05
0 days 00:17:08
0 days 01:12:57
0 days 00:49:03
0 days 00:16:06
0 days 00:17:18
2 days 11:55:53
0 days 01:17:50
8 days 01:13:23
0 days 04:00:51
0 days 01:01:28
0 days 00:08:47
0 days 00:21:56
0 days 07:09:51
0 days 04:10:07
0 days 00:15:02
0 days 00:02:13
0 days 00:01:03
0 days 00:06:51
0 days 02:00:41
1 days 01:03:14
0 days 00:13:18
0 days 22:00:53
0 days 18:30:14
0 days 00:12:21
0 days 00:36:53
0 days 00:20:43
0 days 17:27:39
8 days 03:10:42
0 days 00:48:33
3 days 23:02:08
0 days 00:01:08
0 days 00:00:10
0 days 00:00:17
9 days 23:48:06
0 days 00:03:55
2 days 23:23:42
0 days 00:03:33
2 days 20:49:30
0 days 01:22:27
0 days 00:20:53
0 days 06:27:12
0 days 00:02:38
0 days 18:55:06
0 days 00:58:01
3 days 02:21:55
1 days 03:11:05
0 days 00:04:07
0 days 01:01:19
0 days 11:54:53
0 days 00:08:59
0 days 00:28:07
0 days 00:18:04
0 days 03:06:44
0 days 00:33:32
6 days 20:07:15
0 days 01:56:40
6 days 21:08:31
0 days 20:52:50
0 days 22:13:25
7 days 02:31:52
0 days 17:57:20
3 days 19:29:13
3 days 18:10:12
0 days 01:51:29
0 days 00:40:30
2 days 18:29:53
0 days 00:19:42
0 days 00:00:10
0 days 00:39:48
0 days 00:09:19
1 days 21:49:59
9 days 05:53:29
0 days 00:00:13
0 days 06:54:09
0 days 00:25:41
12 days 04:54:52
0 days 04:09:16
0 days 02:15:23
2 days 02:33:00
0 days 02:15:43
0 days 00:30:32
66 days 20:54:14
0 days 19:13:56
0 days 01:09:30
15 days 03:20:17
0 days 06:58:46
0 days 00:09:41
0 days 00:30:15
2 days 18:15:47
0 days 00:19:52
0 days 00:54:28
0 days 01:07:37
4 days 04:35:40
0 days 00:16:50
23 days 19:33:10
0 days 01:45:37
0 days 00:17:20
22 days 00:00:03
4 days 22:45:08
14 days 21:49:12
2 days 20:22:39
0 days 01:27:21
0 days 00:18:28
0 days 13:26:11
0 days 00:04:15
0 days 03:12:20
0 days 00:40:56
0 days 02:45:22
0 days 01:06:40
0 days 06:23:00
4 days 22:01:26
2 days 00:42:33
0 days 00:08:55
0 days 00:12:34
106 days 17:58:35
0 days 00:19:00
6 days 22:55:20
0 days 17:00:22
0 days 00:28:14
5 days 19:19:14
0 days 00:26:44
0 days 00:09:57
0 days 02:47:48
0 days 00:15:01
0 days 19:23:45
0 days 00:18:10
4 days 16:46:23
3 days 23:56:21
0 days 00:01:53
0 days 00:00:08
0 days 18:00:41
0 days 00:43:29
0 days 00:16:17
0 days 00:07:49
2 days 19:37:52
0 days 05:48:23
0 days 02:50:15
0 days 02:06:14
1 days 00:31:14
13 days 01:10:20
0 days 00:15:23
0 days 00:43:00
0 days 03:58:39
0 days 00:24:54
0 days 00:57:13
0 days 00:50:18
2 days 00:18:52
0 days 07:42:48
0 days 00:02:52
0 days 19:18:11
0 days 00:26:03
0 days 17:33:34
0 days 00:20:42
0 days 00:02:45
0 days 00:01:31
0 days 00:12:36
0 days 00:42:59
0 days 00:02:09
0 days 00:07:19
0 days 01:42:04
0 days 02:10:04
0 days 00:12:53
2 days 22:39:44
0 days 00:00:07
0 days 00:00:06
51 days 20:26:58
4 days 18:07:39
0 days 00:25:06
0 days 00:12:20
0 days 00:15:30
0 days 18:34:50
0 days 00:30:43
0 days 00:34:50
0 days 01:13:38
0 days 16:05:37
0 days 17:53:55
0 days 11:38:06
0 days 00:04:40
0 days 00:33:41
0 days 00:00:13
0 days 01:36:21
1 days 03:29:03
0 days 00:58:56
1 days 14:39:09
0 days 00:58:27
0 days 00:08:44
0 days 00:00:15
0 days 00:00:20
15 days 04:22:50
0 days 18:45:22
1 days 01:30:09
0 days 02:52:22
10 days 20:13:40
0 days 00:43:19
0 days 00:51:15
0 days 00:45:59
0 days 00:03:34
0 days 00:32:47
0 days 01:09:37
8 days 03:23:01
0 days 00:01:35
0 days 19:42:50
0 days 00:06:53
0 days 01:09:33
0 days 00:16:14
0 days 00:32:24
0 days 01:09:31
0 days 00:39:47
0 days 00:07:07
0 days 00:00:15
0 days 00:03:11
7 days 01:23:35
0 days 00:13:00
0 days 21:16:51
0 days 00:10:14
2 days 06:53:51
0 days 03:13:50
0 days 18:40:35
0 days 01:55:00
0 days 03:44:50
0 days 00:20:24
0 days 01:13:40
0 days 00:41:38
0 days 03:49:36
70 days 00:43:59
0 days 02:46:05
0 days 09:49:49
25 days 03:12:55
1 days 19:20:31
0 days 17:10:18
0 days 00:34:04
0 days 01:09:39
0 days 01:13:07
3 days 20:17:47
0 days 00:00:39
0 days 00:00:19
3 days 23:51:34
0 days 02:36:18
0 days 00:24:30
0 days 17:26:37
35 days 23:18:50
0 days 01:36:41
0 days 00:57:19
26 days 06:23:02
4 days 19:35:10
0 days 00:01:25
0 days 00:46:28
4 days 02:21:20
0 days 02:15:55
2 days 06:51:43
0 days 00:45:42
0 days 00:57:48
0 days 01:03:12
64 days 19:34:10
0 days 00:09:15
0 days 00:16:39
6 days 04:10:05
5 days 23:42:50
0 days 23:17:43
0 days 16:05:56
0 days 04:51:02
0 days 00:05:41
0 days 00:27:35
0 days 00:03:49
0 days 00:01:09
0 days 00:05:05
0 days 00:02:13
24 days 01:24:44
0 days 03:57:56
4 days 00:40:49
14 days 02:40:59
3 days 17:40:59
22 days 03:38:32
0 days 00:53:16
0 days 00:01:53
0 days 00:49:12
0 days 00:30:53
0 days 00:31:20
0 days 14:26:30
0 days 00:28:08
0 days 00:35:36
0 days 00:59:24
0 days 00:11:42
15 days 23:55:42
15 days 00:46:59
0 days 00:06:05
0 days 00:01:06
161 days 16:41:03
0 days 17:31:27
0 days 00:19:33
0 days 00:09:29
0 days 07:33:53
0 days 00:55:16
2 days 20:35:14
2 days 22:26:31
0 days 03:05:55
0 days 00:10:50
0 days 02:02:54
0 days 00:54:06
0 days 00:13:15
0 days 04:16:36
0 days 02:08:46
0 days 00:08:25
0 days 01:59:57
0 days 00:15:13
0 days 14:46:24
0 days 00:04:42
0 days 22:36:01
17 days 23:43:24
9 days 06:56:24
2 days 22:41:56
2 days 01:25:55
0 days 11:54:37
20 days 03:36:36
0 days 17:42:03
0 days 00:28:49
0 days 18:07:16
0 days 00:06:25
0 days 22:54:58
0 days 00:17:25
0 days 00:12:13
0 days 00:05:14
0 days 06:13:23
0 days 00:24:39
0 days 00:22:57
13 days 06:32:57
2 days 20:27:02
0 days 01:09:26
0 days 00:37:49
0 days 00:03:40
0 days 00:50:18
0 days 00:49:34
2 days 20:42:35
1 days 05:56:56
3 days 00:17:47
0 days 00:57:24
0 days 00:26:12
0 days 00:10:03
0 days 00:30:40
0 days 00:09:28
2 days 22:49:00
0 days 01:05:39
0 days 00:13:30
0 days 01:01:13
2 days 18:23:37
1 days 23:56:18
0 days 17:10:56
8 days 00:50:26
0 days 00:03:29
7 days 03:46:07
3 days 00:30:36
0 days 00:31:43
4 days 17:07:24
0 days 17:01:50
0 days 00:43:06
0 days 00:25:52
0 days 01:28:04
0 days 00:04:54
0 days 00:10:20
0 days 00:24:08
15 days 20:56:54
0 days 00:09:30
0 days 23:07:11
0 days 00:20:08
7 days 23:38:34
0 days 01:40:59
0 days 00:06:53
0 days 00:01:22
0 days 00:19:48
249 days 10:58:50
5 days 03:02:38
0 days 00:04:45
3 days 20:11:20
0 days 00:53:26
1 days 05:42:21
0 days 13:24:15
0 days 00:06:40
61 days 00:48:48
0 days 00:40:40
0 days 00:11:31
12 days 17:29:50
0 days 01:00:31
0 days 16:12:49
0 days 00:09:40
0 days 01:07:16
1 days 02:31:12
0 days 03:05:48
9 days 01:36:18
0 days 00:08:19
0 days 01:48:05
4 days 22:36:54
0 days 00:04:01
1 days 17:31:25
0 days 03:03:36
0 days 00:01:46
0 days 00:33:55
0 days 00:05:10
6 days 23:40:35
0 days 11:44:10
0 days 00:07:19
0 days 02:34:54
0 days 23:07:10
0 days 20:07:39
0 days 05:51:51
0 days 05:56:02
0 days 14:39:59
4 days 19:29:00
89 days 19:56:05
0 days 00:22:30
0 days 00:20:55
0 days 00:47:20
0 days 00:40:46
1 days 00:25:58
0 days 00:07:36
0 days 00:40:18
0 days 01:03:57
1 days 19:01:40
0 days 01:12:35
0 days 08:55:25
0 days 01:55:01
0 days 01:49:18
0 days 00:11:35
0 days 02:59:27
3 days 02:00:37
0 days 01:03:48
0 days 00:04:59
0 days 00:13:25
0 days 00:20:55
0 days 01:36:55
0 days 01:39:36
0 days 00:02:29
0 days 00:01:15
0 days 00:29:11
0 days 01:53:43
0 days 00:45:11
0 days 01:18:44
0 days 01:34:37
0 days 00:02:20
0 days 02:02:20
0 days 00:21:04
0 days 00:23:35
0 days 03:04:22
9 days 07:18:05
6 days 20:41:08
